Natural Language Question,SQL Query
Give the list of all students,SELECT * FROM students;
Show me the students in Computer Science,SELECT * FROM students WHERE branch='Computer Science';
Count the number of male students,SELECT COUNT(*) FROM students WHERE gender='Male';
Get CGPA of John Smith,"SELECT cgpa1, cgpa2 FROM students WHERE first_name='John' AND last_name='Smith';"
List all students in the final year,SELECT * FROM students WHERE class='Final Year';
List all students in the third year,SELECT * FROM students WHERE class='Third Year';
Find all students with a CGPA greater than 8,SELECT * FROM students WHERE cgpa1 > 8;
How many students are there in the IT branch?,SELECT COUNT(*) FROM students WHERE branch='Information Technology';
Show me the first name and last name of all female students,"SELECT first_name, last_name FROM students WHERE gender='Female';"
Get the project guide for Alex Doe,SELECT project_guide_name FROM students WHERE first_name='Alex' AND last_name='Doe';
Find the average CGPA of all students,SELECT AVG(cgpa1) FROM students;
List all students who have dropped a year,SELECT * FROM students WHERE year_drop=1;
Show the details of students with CGPA less than 5,SELECT * FROM students WHERE cgpa1 < 5;
Get the count of students in each branch,"SELECT branch, COUNT(*) FROM students GROUP BY branch;"
Find students with a CGPA between 7 and 9,SELECT * FROM students WHERE cgpa1 BETWEEN 7 AND 9;
List all students with the last name 'Brown',SELECT * FROM students WHERE last_name='Brown';
Get the PRN of students guided by Dr. Smith,SELECT PRN FROM students WHERE project_guide_name='Dr. Smith';
Show the details of students in the second year,SELECT * FROM students WHERE class='Second Year';
Count the total number of students in the database,SELECT COUNT(*) FROM students;
Find students with CGPA1 greater than CGPA2,SELECT * FROM students WHERE cgpa1 > cgpa2;
Give the list of all students,SELECT * FROM students;
Show me the students in Computer Science,SELECT * FROM students WHERE branch='Computer Science';
Count the number of male students,SELECT COUNT(*) FROM students WHERE gender='Male';
Get CGPA of John Smith,"SELECT cgpa1, cgpa2 FROM students WHERE first_name='John' AND last_name='Smith';"
List all students in the final year,SELECT * FROM students WHERE class='Final Year';
List all students in the third year,SELECT * FROM students WHERE class='Third Year';
Find all students with a CGPA greater than 8,SELECT * FROM students WHERE cgpa1 > 8;
How many students are there in the IT branch?,SELECT COUNT(*) FROM students WHERE branch='Information Technology';
Show me the first name and last name of all female students,"SELECT first_name, last_name FROM students WHERE gender='Female';"
Get the project guide for Alex Doe,SELECT project_guide_name FROM students WHERE first_name='Alex' AND last_name='Doe';
Find the average CGPA of all students,SELECT AVG(cgpa1) FROM students;
List all students who have dropped a year,SELECT * FROM students WHERE year_drop=1;
Show the details of students with CGPA less than 5,SELECT * FROM students WHERE cgpa1 < 5;
Get the count of students in each branch,"SELECT branch, COUNT(*) FROM students GROUP BY branch;"
Find students with a CGPA between 7 and 9,SELECT * FROM students WHERE cgpa1 BETWEEN 7 AND 9;
List all students with the last name 'Brown',SELECT * FROM students WHERE last_name='Brown';
Get the PRN of students guided by Dr. Smith,SELECT PRN FROM students WHERE project_guide_name='Dr. Smith';
Show the details of students in the second year,SELECT * FROM students WHERE class='Second Year';
Count the total number of students in the database,SELECT COUNT(*) FROM students;
Find students with CGPA1 greater than CGPA2,SELECT * FROM students WHERE cgpa1 > cgpa2;
List all students who are male and in the final year,SELECT * FROM students WHERE gender='Male' AND class='Final Year';
Get the maximum CGPA among all students,SELECT MAX(cgpa1) FROM students;
Find the details of students whose first name starts with 'E',SELECT * FROM students WHERE first_name LIKE 'E%';
List students with a project guide name containing 'Dr.',SELECT * FROM students WHERE project_guide_name LIKE '%Dr.%';
Count how many students have a CGPA of 9 or more,SELECT COUNT(*) FROM students WHERE cgpa1 >= 9;
Find all students who have never dropped a year,SELECT * FROM students WHERE year_drop=0;
Show all students with CGPA3 and CGPA4 filled,SELECT * FROM students WHERE cgpa3 IS NOT NULL AND cgpa4 IS NOT NULL;
List the first five students in alphabetical order by last name,SELECT * FROM students ORDER BY last_name LIMIT 5;
Get the distinct branches of students in the database,SELECT DISTINCT branch FROM students;
Find students who have the same first and last name,SELECT * FROM students WHERE first_name = last_name;
Show the average CGPA1 and CGPA2 for female students,"SELECT AVG(cgpa1), AVG(cgpa2) FROM students WHERE gender='Female';"
Get the PRNs of students with CGPA1 less than 6.5,SELECT PRN FROM students WHERE cgpa1 < 6.5;
Find students who are in the 'Mechanical' branch and have a CGPA of 7.5 or higher,SELECT * FROM students WHERE branch='Mechanical' AND cgpa1 >= 7.5;
Show details of students guided by 'Prof. Lee',SELECT * FROM students WHERE project_guide_name='Prof. Lee';
Get the number of female students in each class,"SELECT class, COUNT(*) FROM students WHERE gender='Female' GROUP BY class;"
List students with a CGPA1 between 6.0 and 8.0,SELECT * FROM students WHERE cgpa1 BETWEEN 6.0 AND 8.0;
Find students who have both CGPA3 and CGPA4 above 7.0,SELECT * FROM students WHERE cgpa3 > 7.0 AND cgpa4 > 7.0;
Count the total number of female students,SELECT COUNT(*) FROM students WHERE gender='Female';
Get the names of all students in the 'Civil' branch,"SELECT first_name, last_name FROM students WHERE branch='Civil';"
Show the PRN and project guide of students with CGPA2 filled,"SELECT PRN, project_guide_name FROM students WHERE cgpa2 IS NOT NULL;"
List all students with a PRN starting with 'WCE',SELECT * FROM students WHERE PRN LIKE 'WCE%';
Find students with a CGPA greater than CGPA2,SELECT * FROM students WHERE cgpa1 > cgpa2;
Count how many students have a CGPA1 less than 4.0,SELECT COUNT(*) FROM students WHERE cgpa1 < 4.0;
Show students with project guides that have a name starting with 'Dr.',SELECT * FROM students WHERE project_guide_name LIKE 'Dr.%';
Get the first three students in the list,SELECT * FROM students LIMIT 3;
Find students in the 'Electronics' branch with CGPA1 greater than 8.5,SELECT * FROM students WHERE branch='Electronics' AND cgpa1 > 8.5;
Show all details of students who are in the first year,SELECT * FROM students WHERE class='First Year';
Count the number of students who have a project guide named 'Dr. Brown',SELECT COUNT(*) FROM students WHERE project_guide_name='Dr. Brown';
Get the last names of all students with CGPA1 above 9.0,SELECT last_name FROM students WHERE cgpa1 > 9.0;
Find students who are male and have CGPA2 below 5.5,SELECT * FROM students WHERE gender='Male' AND cgpa2 < 5.5;
List all students along with their CGPA1 in descending order,SELECT * FROM students ORDER BY cgpa1 DESC;
Get the count of students in 'First Year' and 'Second Year',"SELECT class, COUNT(*) FROM students WHERE class IN ('First Year', 'Second Year') GROUP BY class;"
Find students who have a CGPA1 equal to their CGPA2,SELECT * FROM students WHERE cgpa1 = cgpa2;
Show the details of students whose first name contains 'a',SELECT * FROM students WHERE first_name LIKE '%a%';
List all students along with their year drop status,"SELECT first_name, last_name, year_drop FROM students;"
Count the total number of students in the 'Civil' branch,SELECT COUNT(*) FROM students WHERE branch='Civil';
Find students who have a CGPA1 greater than 9 and are in 'Third Year',SELECT * FROM students WHERE cgpa1 > 9 AND class='Third Year';
Show project guide names of students with CGPA3 filled,SELECT project_guide_name FROM students WHERE cgpa3 IS NOT NULL;
Get the list of distinct classes from the students table,SELECT DISTINCT class FROM students;
Count how many students are there for each gender,"SELECT gender, COUNT(*) FROM students GROUP BY gender;"
List students in alphabetical order by first name,SELECT * FROM students ORDER BY first_name;
Find students in 'Information Technology' who are not female,SELECT * FROM students WHERE branch='Information Technology' AND gender != 'Female';
Show the average CGPA1 for male students,SELECT AVG(cgpa1) FROM students WHERE gender='Male';
